"ID","nwCongoID","tsID","SITE","CODE","FEAT","IND","VU","POTTERY","PROV","Xray","TYPE","BOX","FABRIC","SUBGRP","SurfSponges","NOTES","RIVER","GROUP","REFERENCE"
"187","","67","Ilambi Moke","MOK","10 I B","A (9)","","Middle Pottery Phase","","","","","","","","","Lomami","",""
"188","","68","Ilambi Moke","MOK","10 II B","1 (30-40 EBOSSO)","","Middle Pottery Phase","","","","","","","","","Lomami","",""
"189","","69","Ilambi Moke","MOK","10 II B","2 (20-30 (29))","","Middle Pottery Phase","","","","","","","","","Lomami","",""
"190","","70","Ilambi Moke","MOK","10 II B","3 (40-50 VE)","","Early Pottery Phase","","","","","","","","outlier in terms of color and style (cf. Ruanda/Urewe!)","Lomami","",""
"191","","71","Ilambi Moke","MOK","10 II B","4 (10-20)","","Ilambi","","","","","","","","","Lomami","",""
"192","","72","Yaekela","YAE","01/10","1 (27 (8))","","Yaekela","","","","","","","o","","Lomami","",""
"193","","73","Yaekela","YAE","20/10","2 (20-30-40 (2))","","Yaekela","","","","","","","o","","Lomami","",""
"194","","74","Yaekela","YAE","20/10","3 (-40 (1))","","Yaekela","","","","","","","o","","Lomami","",""
"195","","75","Yaekela","YAE","20/10","4 (10 (2))","","Yaekela","","","","","","","o","","Lomami","",""
"196","","76","Yaekela","YAE","20/10","5 (-40 (3))","","Yaekela","","","","","","","o","","Lomami","",""
"197","","77","Yaekela","YAE","20/10","6 (100-120)","","Yaekela","","","","","","","o","","Lomami","",""
"198","","78","Yaekela","YAE","20/10","7 (100-120 (1/2))","","Yaekela","","","","","","","","","Lomami","",""
"199","","79","Yafunga","YFG","10","60-70:1","","modern","","","","","","","o","YFG II","Lomami","",""
"200","","80","Yangambi","MBI","10 II B","1 (0-10 cm (9))","","Ilambi","","","","","","","o","","Lomami","",""
"201","","81","Yangambi","MBI","10 II B","2 (0-10 cm (9))","","Ilambi","","","","","","","o","","Lomami","",""
"202","","82","Engengele","ENG","03/10","1","","modern","x","","","","","","o","","Itimbiri","",""
"203","","83","Engengele","ENG","03/10","2","","modern","x","","","","","","o","","Itimbiri","",""
"204","","84","Basoko","BKO","00/","1","","modern","x","","vessel","","3","","","cf ethnogr vessels from Tshuapa etc. >> Mattenabdruck)","Aruwimi","",""
